start_time,end_time,house,monday,tuesday,wednesday,thursday,friday,saturday,sunday
450,600,lowell,23,23,23,23,23,23,23
690,720,lowell,1,1,1,1,1,100,2
720,855,lowell,2,2,2,2,1,1,2
1020,1080,lowell,1,1,1,2,1,1,1
1080,1140,lowell,2,2,2,2,2,1,2
1140,1155,lowell,1,1,1,2,1,1,1
450,600,adams,24,24,24,24,24,24,24
690,720,adams,4,4,4,4,4,100,4
720,855,adams,4,4,4,4,4,4,4
1020,1155,adams,4,4,4,4,4,4,4
450,600,cabot,5,5,5,5,5,5,5
690,720,cabot,5,5,5,5,5,100,5
720,855,cabot,5,5,5,5,5,5,5
855,870,cabot,5,5,5,5,5,5,100
1020,1170,cabot,5,5,5,5,5,5,5
450,600,currier,6,6,6,6,6,6,6
690,720,currier,6,6,6,6,6,100,6
720,855,currier,6,6,6,6,6,6,6
855,870,currier,6,6,6,6,6,6,100
1020,1170,currier,6,6,6,6,6,6,6
1170,1200,currier,6,6,6,6,100,100,6
450,600,dunster,25,25,25,25,25,25,25
690,720,dunster,7,7,7,7,7,100,8
720,855,dunster,7,7,7,7,7,7,8
1020,1080,dunster,7,7,7,8,7,7,7
1080,1140,dunster,8,8,8,8,7,7,8
1140,1155,dunster,7,7,7,8,7,7,7
450,600,eliot,26,26,26,26,26,26,26
690,720,eliot,9,9,9,9,9,100,10
720,855,eliot,9,9,9,9,9,9,10
1020,1080,eliot,9,9,9,10,9,9,9
1080,1155,eliot,10,10,10,10,9,9,9
450,600,kirkland,27,27,27,27,27,27,27
690,720,kirkland,11,11,11,11,11,100,12
720,855,kirkland,11,11,11,11,11,11,12
1020,1080,kirkland,11,11,11,12,11,11,11
1080,1155,kirkland,12,12,12,12,11,11,11
450,600,leverett,28,28,28,28,28,28,28
690,720,leverett,13,13,13,13,13,100,14
720,855,leverett,13,13,13,13,13,13,14
1020,1050,leverett,13,13,13,14,13,13,13
1050,1155,leverett,14,14,14,14,13,13,14
450,600,mather,15,15,15,15,15,15,15
690,720,mather,15,15,15,15,15,100,15
720,855,mather,15,15,15,15,15,15,15
1020,1170,mather,15,15,15,31,15,15,15
450,600,pforzheimer,16,16,16,16,16,16,16
690,720,pforzheimer,16,16,16,16,16,100,16
720,855,pforzheimer,16,16,16,16,16,16,16
855,870,pforzheimer,16,16,16,16,16,16,100
1020,1170,pforzheimer,16,16,16,16,16,16,16
450,600,quincy,29,29,29,29,29,29,29
690,720,quincy,18,18,18,18,18,100,17
720,855,quincy,18,18,18,18,18,17,17
1020,1155,quincy,17,17,17,18,17,17,17
450,600,winthrop,30,30,30,30,30,30,30
690,720,winthrop,19,19,19,19,19,100,19
720,855,winthrop,19,19,19,19,19,19,19
1020,1080,winthrop,19,19,19,20,19,19,19
1080,1140,winthrop,20,20,20,20,19,20,20
1140,1155,winthrop,19,19,19,20,19,19,19
450,615,freshman,21,21,21,21,21,21,21
690,855,freshman,22,22,22,22,22,22,22
990,1155,freshman,22,22,22,22,22,22,22