start_time,end_time,house,restriction_id
450,600,lowell,23
690,720,lowell,1
720,855,lowell,2
1020,1080,lowell,1
1080,1140,lowell,2
1140,1155,lowell,2
450,600,adams,24
690,855,adams,4
1020,1155,adams,4
450,600,cabot,5
690,870,cabot,5
1020,1170,cabot,5
450,600,currier,6
690,870,currier,6
1020,1170,currier,6
450,600,dunster,25
690,855,dunster,7
1020,1080,dunster,7
1080,1140,dunster,8
1140,1155,dunster,7
450,600,eliot,26
690,855,eliot,9
1020,1080,eliot,9
1080,1155,eliot,10
450,600,kirkland,27
690,855,kirkland,11
1020,1080,kirkland,11
1080,1155,kirkland,12
450,600,leverett,28
690,855,leverett,13
1020,1050,leverett,13
1050,1155,leverett,14
450,600,mather,15
690,855,mather,15
1020,1170,mather,15
450,600,pforzheimer,16
690,870,pforzheimer,16
1020,1170,pforzheimer,16
450,600,quincy,29
690,855,quincy,18
1020,1155,quincy,17
450,600,winthrop,30
690,855,winthrop,19
1020,1080,winthrop,19
1080,1140,winthrop,20
1140,1155,winthrop,19
450,615,freshman,21
690,855,freshman,22
990,1155,freshman,22